Year,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
11001,51133925.45,51133925.45,51133925.45,51133925.45,52769683.87,52769683.87,52769683.87,52769683.87,52769683.87,55087302.85,55087302.85,55087302.85,55087302.85,55087302.85,59193890.24,59193890.24,59193890.24,59193890.24,59193890.24,69289384.79,69289384.79,69289384.79,69289384.79,69289384.79
11002,9534513.929,9534513.929,9534513.929,9534513.929,9747738.91,9747738.91,9747738.91,9747738.91,9747738.91,10048216.98,10048216.98,10048216.98,10048216.98,10048216.98,10535379.57,10535379.57,10535379.57,10535379.57,10535379.57,11678329.95,11678329.95,11678329.95,11678329.95,11678329.95
11003,20068626.47,20068626.47,20068626.47,20068626.47,21000161.14,21000161.14,21000161.14,21000161.14,21000161.14,22350455.48,22350455.48,22350455.48,22350455.48,22350455.48,24599951.45,24599951.45,24599951.45,24599951.45,24599951.45,29776839.62,29776839.62,29776839.62,29776839.62,29776839.62
11004,29843692.74,29843692.74,29843692.74,29843692.74,31057247.18,31057247.18,31057247.18,31057247.18,31057247.18,32875293.78,32875293.78,32875293.78,32875293.78,32875293.78,36090944,36090944,36090944,36090944,36090944,43725706.2,43725706.2,43725706.2,43725706.2,43725706.2
11005,7080280.863,7080280.863,7080280.863,7080280.863,7366189.067,7366189.067,7366189.067,7366189.067,7366189.067,7852191.863,7852191.863,7852191.863,7852191.863,7852191.863,8823958.827,8823958.827,8823958.827,8823958.827,8823958.827,11520462.3,11520462.3,11520462.3,11520462.3,11520462.3
11006,27427436.8,27427436.8,27427436.8,27427436.8,28521283.92,28521283.92,28521283.92,28521283.92,28521283.92,30194283.06,30194283.06,30194283.06,30194283.06,30194283.06,33273346.6,33273346.6,33273346.6,33273346.6,33273346.6,40779626.18,40779626.18,40779626.18,40779626.18,40779626.18
11007,16696689.57,16696689.57,16696689.57,16696689.57,17633845.91,17633845.91,17633845.91,17633845.91,17633845.91,18826654.2,18826654.2,18826654.2,18826654.2,18826654.2,20707406.03,20707406.03,20707406.03,20707406.03,20707406.03,25026156.58,25026156.58,25026156.58,25026156.58,25026156.58
11008,7795359.722,7795359.722,7795359.722,7795359.722,7970573.698,7970573.698,7970573.698,7970573.698,7970573.698,8236555.831,8236555.831,8236555.831,8236555.831,8236555.831,8830501.541,8830501.541,8830501.541,8830501.541,8830501.541,10662298.8,10662298.8,10662298.8,10662298.8,10662298.8
12001,6912748.773,6912748.773,6912748.773,6912748.773,7120579.008,7120579.008,7120579.008,7120579.008,7120579.008,7358982.196,7358982.196,7358982.196,7358982.196,7358982.196,7848516,7848516,7848516,7848516,7848516,9483414.851,9483414.851,9483414.851,9483414.851,9483414.851
12002,4697255.318,4697255.318,4697255.318,4697255.318,4914796.086,4914796.086,4914796.086,4914796.086,4914796.086,5159842.478,5159842.478,5159842.478,5159842.478,5159842.478,5384414.184,5384414.184,5384414.184,5384414.184,5384414.184,5589294.627,5589294.627,5589294.627,5589294.627,5589294.627
12003,3211857.831,3211857.831,3211857.831,3211857.831,3329287.055,3329287.055,3329287.055,3329287.055,3329287.055,3461172.847,3461172.847,3461172.847,3461172.847,3461172.847,3617350.525,3617350.525,3617350.525,3617350.525,3617350.525,3847376.929,3847376.929,3847376.929,3847376.929,3847376.929
12004,26693650.62,26693650.62,26693650.62,26693650.62,27579544.69,27579544.69,27579544.69,27579544.69,27579544.69,28702551.53,28702551.53,28702551.53,28702551.53,28702551.53,30386476.05,30386476.05,30386476.05,30386476.05,30386476.05,34040738.39,34040738.39,34040738.39,34040738.39,34040738.39
12005,4662059.839,4662059.839,4662059.839,4662059.839,4843483.506,4843483.506,4843483.506,4843483.506,4843483.506,5077743.867,5077743.867,5077743.867,5077743.867,5077743.867,5424020.137,5424020.137,5424020.137,5424020.137,5424020.137,6189582.325,6189582.325,6189582.325,6189582.325,6189582.325
13001,3192243.42,3192243.42,3192243.42,3192243.42,3307809.749,3307809.749,3307809.749,3307809.749,3307809.749,3432661.996,3432661.996,3432661.996,3432661.996,3432661.996,3543389.663,3543389.663,3543389.663,3543389.663,3543389.663,3600495.58,3600495.58,3600495.58,3600495.58,3600495.58
13002,681976,681976,681976,681976,716420.9333,716420.9333,716420.9333,716420.9333,716420.9333,752547.1608,752547.1608,752547.1608,752547.1608,752547.1608,785879.5843,785879.5843,785879.5843,785879.5843,785879.5843,799188.4824,799188.4824,799188.4824,799188.4824,799188.4824
13003,8623754.188,8623754.188,8623754.188,8623754.188,9032314.365,9032314.365,9032314.365,9032314.365,9032314.365,9454822.102,9454822.102,9454822.102,9454822.102,9454822.102,9844180.906,9844180.906,9844180.906,9844180.906,9844180.906,9964001.733,9964001.733,9964001.733,9964001.733,9964001.733
13004,4614707.678,4614707.678,4614707.678,4614707.678,4784579.663,4784579.663,4784579.663,4784579.663,4784579.663,4962142.035,4962142.035,4962142.035,4962142.035,4962142.035,5149401.973,5149401.973,5149401.973,5149401.973,5149401.973,5374181.855,5374181.855,5374181.855,5374181.855,5374181.855
13005,2926175.804,2926175.804,2926175.804,2926175.804,3068691.886,3068691.886,3068691.886,3068691.886,3068691.886,3227566.969,3227566.969,3227566.969,3227566.969,3227566.969,3368652.329,3368652.329,3368652.329,3368652.329,3368652.329,3409103.337,3409103.337,3409103.337,3409103.337,3409103.337
13006,4587928.929,4587928.929,4587928.929,4587928.929,4951258.51,4951258.51,4951258.51,4951258.51,4951258.51,5346420.4,5346420.4,5346420.4,5346420.4,5346420.4,5718030.769,5718030.769,5718030.769,5718030.769,5718030.769,5909937.267,5909937.267,5909937.267,5909937.267,5909937.267
13007,87551505.42,87551505.42,87551505.42,87551505.42,91234606.63,91234606.63,91234606.63,91234606.63,91234606.63,95197142.11,95197142.11,95197142.11,95197142.11,95197142.11,99046269.38,99046269.38,99046269.38,99046269.38,99046269.38,101656032.2,101656032.2,101656032.2,101656032.2,101656032.2
13008,3256768.698,3256768.698,3256768.698,3256768.698,3429219.051,3429219.051,3429219.051,3429219.051,3429219.051,3612121.663,3612121.663,3612121.663,3612121.663,3612121.663,3787772.867,3787772.867,3787772.867,3787772.867,3787772.867,3916418.38,3916418.38,3916418.38,3916418.38,3916418.38
13009,6467973.808,6467973.808,6467973.808,6467973.808,6922486.11,6922486.11,6922486.11,6922486.11,6922486.11,7422483.035,7422483.035,7422483.035,7422483.035,7422483.035,7887093.506,7887093.506,7887093.506,7887093.506,7887093.506,8134624.6,8134624.6,8134624.6,8134624.6,8134624.6
13010,10104161.13,10104161.13,10104161.13,10104161.13,10520143.42,10520143.42,10520143.42,10520143.42,10520143.42,10973134.44,10973134.44,10973134.44,10973134.44,10973134.44,11409292.55,11409292.55,11409292.55,11409292.55,11409292.55,11741316.73,11741316.73,11741316.73,11741316.73,11741316.73
13011,2594210.839,2594210.839,2594210.839,2594210.839,2683377.91,2683377.91,2683377.91,2683377.91,2683377.91,2792743.753,2792743.753,2792743.753,2792743.753,2792743.753,2913813.275,2913813.275,2913813.275,2913813.275,2913813.275,3072784.671,3072784.671,3072784.671,3072784.671,3072784.671
13012,2935060.145,2935060.145,2935060.145,2935060.145,3111465.49,3111465.49,3111465.49,3111465.49,3111465.49,3305646.69,3305646.69,3305646.69,3305646.69,3305646.69,3515638.161,3515638.161,3515638.161,3515638.161,3515638.161,3816132.004,3816132.004,3816132.004,3816132.004,3816132.004
13013,6511645.169,6511645.169,6511645.169,6511645.169,6832239.631,6832239.631,6832239.631,6832239.631,6832239.631,7173469.871,7173469.871,7173469.871,7173469.871,7173469.871,7502955.988,7502955.988,7502955.988,7502955.988,7502955.988,7760862.69,7760862.69,7760862.69,7760862.69,7760862.69
14001,21965373.99,21965373.99,21965373.99,21965373.99,23262670.89,23262670.89,23262670.89,23262670.89,23262670.89,24594498.79,24594498.79,24594498.79,24594498.79,24594498.79,25849945.11,25849945.11,25849945.11,25849945.11,25849945.11,26720090.14,26720090.14,26720090.14,26720090.14,26720090.14
14002,3004321.275,3004321.275,3004321.275,3004321.275,3078164.051,3078164.051,3078164.051,3078164.051,3078164.051,3153580.09,3153580.09,3153580.09,3153580.09,3153580.09,3225131.698,3225131.698,3225131.698,3225131.698,3225131.698,3283172.239,3283172.239,3283172.239,3283172.239,3283172.239
14003,2423808.831,2423808.831,2423808.831,2423808.831,2516916.012,2516916.012,2516916.012,2516916.012,2516916.012,2612986.678,2612986.678,2612986.678,2612986.678,2612986.678,2709612.894,2709612.894,2709612.894,2709612.894,2709612.894,2794772.89,2794772.89,2794772.89,2794772.89,2794772.89
14004,2442015.537,2442015.537,2442015.537,2442015.537,2549773.031,2549773.031,2549773.031,2549773.031,2549773.031,2705875.341,2705875.341,2705875.341,2705875.341,2705875.341,2891230.561,2891230.561,2891230.561,2891230.561,2891230.561,3109284.718,3109284.718,3109284.718,3109284.718,3109284.718
15001,11246517.62,11246517.62,11246517.62,11246517.62,11937177.53,11937177.53,11937177.53,11937177.53,11937177.53,12689224.47,12689224.47,12689224.47,12689224.47,12689224.47,13386524.33,13386524.33,13386524.33,13386524.33,13386524.33,13796920.13,13796920.13,13796920.13,13796920.13,13796920.13
15002,33619004.5,33619004.5,33619004.5,33619004.5,34758797.04,34758797.04,34758797.04,34758797.04,34758797.04,35990665.21,35990665.21,35990665.21,35990665.21,35990665.21,37225763.81,37225763.81,37225763.81,37225763.81,37225763.81,38407694.49,38407694.49,38407694.49,38407694.49,38407694.49
15003,2885799.416,2885799.416,2885799.416,2885799.416,3011914.863,3011914.863,3011914.863,3011914.863,3011914.863,3149232.451,3149232.451,3149232.451,3149232.451,3149232.451,3291383.173,3291383.173,3291383.173,3291383.173,3291383.173,3433883.455,3433883.455,3433883.455,3433883.455,3433883.455
15004,2046749.671,2046749.671,2046749.671,2046749.671,2147999.145,2147999.145,2147999.145,2147999.145,2147999.145,2253139.118,2253139.118,2253139.118,2253139.118,2253139.118,2353298.012,2353298.012,2353298.012,2353298.012,2353298.012,2428183.953,2428183.953,2428183.953,2428183.953,2428183.953
15005,3331376.294,3331376.294,3331376.294,3331376.294,3608155.18,3608155.18,3608155.18,3608155.18,3608155.18,3907488.82,3907488.82,3907488.82,3907488.82,3907488.82,4188323.18,4188323.18,4188323.18,4188323.18,4188323.18,4343194.522,4343194.522,4343194.522,4343194.522,4343194.522
15006,5989979.82,5989979.82,5989979.82,5989979.82,6135513.808,6135513.808,6135513.808,6135513.808,6135513.808,6287282.949,6287282.949,6287282.949,6287282.949,6287282.949,6436625.922,6436625.922,6436625.922,6436625.922,6436625.922,6568521.439,6568521.439,6568521.439,6568521.439,6568521.439
15007,72581893.05,72581893.05,72581893.05,72581893.05,76324948.98,76324948.98,76324948.98,76324948.98,76324948.98,80284139.58,80284139.58,80284139.58,80284139.58,80284139.58,84063047.48,84063047.48,84063047.48,84063047.48,84063047.48,86548108.4,86548108.4,86548108.4,86548108.4,86548108.4
15008,16389432,16389432,16389432,16389432,17886298.9,17886298.9,17886298.9,17886298.9,17886298.9,19485009.09,19485009.09,19485009.09,19485009.09,19485009.09,21058479.77,21058479.77,21058479.77,21058479.77,21058479.77,22177281.33,22177281.33,22177281.33,22177281.33,22177281.33
15009,14835126.85,14835126.85,14835126.85,14835126.85,15391801.94,15391801.94,15391801.94,15391801.94,15391801.94,15974498.07,15974498.07,15974498.07,15974498.07,15974498.07,16504284.08,16504284.08,16504284.08,16504284.08,16504284.08,16815323.09,16815323.09,16815323.09,16815323.09,16815323.09
15010,18124820.35,18124820.35,18124820.35,18124820.35,19032313.83,19032313.83,19032313.83,19032313.83,19032313.83,19986040.73,19986040.73,19986040.73,19986040.73,19986040.73,20947032.62,20947032.62,20947032.62,20947032.62,20947032.62,21888852.42,21888852.42,21888852.42,21888852.42,21888852.42
15011,12575060.99,12575060.99,12575060.99,12575060.99,13331058.44,13331058.44,13331058.44,13331058.44,13331058.44,14135701.83,14135701.83,14135701.83,14135701.83,14135701.83,14881755.61,14881755.61,14881755.61,14881755.61,14881755.61,15431606.62,15431606.62,15431606.62,15431606.62,15431606.62
15012,15427556.24,15427556.24,15427556.24,15427556.24,16560064.36,16560064.36,16560064.36,16560064.36,16560064.36,17780924.26,17780924.26,17780924.26,17780924.26,17780924.26,18963698.64,18963698.64,18963698.64,18963698.64,18963698.64,19824426.49,19824426.49,19824426.49,19824426.49,19824426.49
15013,22622177.08,22622177.08,22622177.08,22622177.08,24012523.76,24012523.76,24012523.76,24012523.76,24012523.76,25498492.35,25498492.35,25498492.35,25498492.35,25498492.35,26948180.29,26948180.29,26948180.29,26948180.29,26948180.29,28105171.94,28105171.94,28105171.94,28105171.94,28105171.94
15014,12672860.35,12672860.35,12672860.35,12672860.35,13161263.4,13161263.4,13161263.4,13161263.4,13161263.4,13707528.97,13707528.97,13707528.97,13707528.97,13707528.97,14308720.59,14308720.59,14308720.59,14308720.59,14308720.59,15065063.67,15065063.67,15065063.67,15065063.67,15065063.67
15015,16697335.47,16697335.47,16697335.47,16697335.47,17837915.39,17837915.39,17837915.39,17837915.39,17837915.39,19083546.54,19083546.54,19083546.54,19083546.54,19083546.54,20426541.85,20426541.85,20426541.85,20426541.85,20426541.85,22035238.95,22035238.95,22035238.95,22035238.95,22035238.95
15016,17284536.4,17284536.4,17284536.4,17284536.4,18597120.63,18597120.63,18597120.63,18597120.63,18597120.63,20052433.27,20052433.27,20052433.27,20052433.27,20052433.27,21372295.92,21372295.92,21372295.92,21372295.92,21372295.92,22044893.99,22044893.99,22044893.99,22044893.99,22044893.99
15017,17178973.6,17178973.6,17178973.6,17178973.6,18366381.91,18366381.91,18366381.91,18366381.91,18366381.91,19662086.3,19662086.3,19662086.3,19662086.3,19662086.3,20982871.88,20982871.88,20982871.88,20982871.88,20982871.88,22386559.59,22386559.59,22386559.59,22386559.59,22386559.59
15018,11841171.2,11841171.2,11841171.2,11841171.2,12770805.57,12770805.57,12770805.57,12770805.57,12770805.57,13801557.22,13801557.22,13801557.22,13801557.22,13801557.22,14781498.18,14781498.18,14781498.18,14781498.18,14781498.18,15561603.85,15561603.85,15561603.85,15561603.85,15561603.85
15019,15127990.13,15127990.13,15127990.13,15127990.13,18192065.87,18192065.87,18192065.87,18192065.87,18192065.87,21850586.92,21850586.92,21850586.92,21850586.92,21850586.92,25569725.39,25569725.39,25569725.39,25569725.39,25569725.39,28564000.74,28564000.74,28564000.74,28564000.74,28564000.74
15020,17933877.25,17933877.25,17933877.25,17933877.25,19665433.19,19665433.19,19665433.19,19665433.19,19665433.19,21621413.85,21621413.85,21621413.85,21621413.85,21621413.85,23528858.38,23528858.38,23528858.38,23528858.38,23528858.38,24951412.21,24951412.21,24951412.21,24951412.21,24951412.21
15021,15770518.29,15770518.29,15770518.29,15770518.29,16835872.74,16835872.74,16835872.74,16835872.74,16835872.74,17982567.79,17982567.79,17982567.79,17982567.79,17982567.79,19175019.87,19175019.87,19175019.87,19175019.87,19175019.87,20361383.71,20361383.71,20361383.71,20361383.71,20361383.71
15022,10274968.83,10274968.83,10274968.83,10274968.83,10828287.82,10828287.82,10828287.82,10828287.82,10828287.82,11415428.45,11415428.45,11415428.45,11415428.45,11415428.45,12007703.51,12007703.51,12007703.51,12007703.51,12007703.51,12618201.99,12618201.99,12618201.99,12618201.99,12618201.99
