Year,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
11001,11655.8912,11950.87836,12178.86985,12696.85114,13029.18045,13465.14702,14090.4819,14628.55788,15216.30026,17334.21685,17939.25923,18352.58762,18725.4283,18825.53613,18405.34594,18005.65231,18215.70308,18378.53972,18529.13896
11002,4449.835053,4537.954095,4585.341667,4769.662552,4875.574774,5009.307461,5212.190345,5408.664085,5405.380376,5693.146887,5884.508753,5992.879727,6115.436887,6137.315297,5997.00768,5867.355477,5929.823104,5982.090736,6027.58819
11003,3997.59998,4082.746377,4141.969974,4332.373544,4446.64272,4641.248625,4837.088387,5092.554698,5099.815075,5416.929038,5573.840489,5705.338303,5825.076137,5847.092886,5724.785527,5600.41818,5655.390145,5705.311574,5755.571674
11004,5241.492589,5358.040198,5434.673337,5683.378509,5825.723898,6013.476491,6264.952291,6498.984527,6513.188967,6921.473139,7176.966976,7376.89615,7527.789819,7556.7348,7398.097843,7237.378871,7311.732389,7379.213079,7439.948994
11005,1799.325703,1832.758728,1850.821301,1921.780458,1963.761908,2017.563416,2105.187445,2180.60453,2184.208623,2339.831971,2435.918559,2500.85729,2553.257989,2562.514676,2504.77589,2450.361203,2472.60066,2494.816594,2513.620667
11006,4078.588701,4156.797732,4209.372787,4378.571395,4485.903884,4684.615161,4904.458659,5099.790941,5172.335897,5503.015701,5713.686973,5830.258125,5953.585742,5975.466016,5843.467804,5716.551612,5792.305124,5847.811455,5919.689542
11007,4186.027858,4264.536729,4332.301071,4542.072906,4659.681046,4795.614282,5008.40538,5195.179813,5219.213805,5550.209499,5806.014092,5960.875653,6088.017423,6113.638797,5983.134549,5853.15473,5911.133393,5963.692467,6013.392371
11008,1758.402688,1790.690602,1814.57027,1882.890932,1923.121025,1980.529177,2066.753798,2150.368018,2151.351087,2274.022377,2348.091076,2423.691147,2473.573121,2487.208494,2433.925908,2381.666764,2465.620207,2488.084036,2507.311203
12001,3687.18763,3756.778948,3843.948252,4009.901026,4120.95372,4241.16758,4424.33831,4592.076054,4615.541716,4937.804477,5095.982059,5181.884586,5289.855152,5310.046972,5189.493615,5077.372557,5123.858814,5170.315315,5210.058076
12002,5206.764101,5299.843892,5352.100422,5552.646179,5676.24605,5837.363612,6077.446788,6286.531203,6282.009522,6627.370745,6835.459339,6945.112632,7084.939564,7108.055088,6942.442574,6791.815923,6852.764553,6915.497697,6967.837978
